Asset,QOL_Utility_Score,Expected_Return,Volatility,Sharpe_Ratio,Inflation_Beta,Age_Suitability,Liquidity,Complexity,Tax_Efficiency,Phase_1_Score,Phase_2_Score,Phase_3_Score,Portfolio_Return_Enhancement,Portfolio_Sharpe_Enhancement,Income_Generation,Crisis_Performance,Implementation_Difficulty,Overall_Recommendation
Treasury_Bills,0.789,0.025,0.005,1.0000000000000002,0.8,1.0,1.0,0.1,0.7,0.389,0.463,0.5445,0.0009500000000000064,0.09896449074820218,0.3,0.0,0.1,Highly Recommended
I_Bonds,0.7520000000000001,0.03,0.02,0.4999999999999999,1.0,0.9,0.3,0.4,0.9,0.30800000000000005,0.38350000000000006,0.456,0.0014500000000000068,0.10130740274158428,0.3,0.0,1.1,Consider
Dividend_Stocks,0.6320625000000001,0.095,0.16,0.46875,0.4,0.8,0.9,0.2,0.8,0.7040000000000001,0.6985000000000001,0.6359999999999999,0.007950000000000013,0.13476817085429454,0.9,-0.25,0.3,Recommended
Bank_Loans,0.6001249999999999,0.055,0.08,0.43750000000000006,0.7,0.7,0.4,0.5,0.4,0.47400000000000003,0.5800000000000002,0.6560000000000001,0.003950000000000009,0.11422440601809308,0.8,-0.1,1.1,Consider
REITs,0.5840000000000001,0.08,0.25,0.24,0.6,0.7,0.9,0.2,0.4,0.6079999999999999,0.5545,0.492,0.006450000000000011,0.10486792013232371,0.9,-0.3,0.3,Consider
High_Yield_Bonds,0.562,0.06,0.12,0.3333333333333333,0.2,0.6,0.7,0.3,0.4,0.6080000000000001,0.7155,0.6670000000000001,0.0044500000000000095,0.11177791669746523,0.9,-0.2,0.6000000000000001,Consider
Preferred_Stocks,0.543,0.065,0.15,0.3,0.1,0.7,0.6,0.4,0.7,0.6330000000000001,0.663,0.5994999999999999,0.00495000000000001,0.11080275986761329,0.9,-0.25,0.8,Consider
Value_Stocks,0.47800000000000004,0.105,0.18,0.4722222222222222,0.5,0.7,0.9,0.2,0.7,0.6299999999999999,0.5465000000000001,0.46900000000000003,0.00895,0.1394395086338105,0.3,-0.3,0.3,Not Recommended
Commodities,0.45299999999999996,0.06,0.25,0.15999999999999998,0.9,0.5,0.6,0.6,0.3,0.43499999999999994,0.36300000000000004,0.29250000000000004,0.0044500000000000095,0.08835216036041604,0.3,0.1,1.0,Not Recommended
International_Stocks,0.4483636363636364,0.09,0.22,0.3181818181818181,0.4,0.7,0.9,0.3,0.6,0.5519999999999999,0.47250000000000003,0.39899999999999997,0.007449999999999998,0.11896036600580767,0.3,-0.35,0.39999999999999997,Not Recommended
Small_Cap_Stocks,0.387875,0.115,0.24,0.39583333333333337,0.4,0.5,0.8,0.3,0.7,0.5109999999999999,0.43000000000000005,0.35350000000000004,0.00995,0.13581225333667796,0.3,-0.45,0.49999999999999994,Not Recommended
Emerging_Markets,0.36392857142857143,0.11,0.28,0.3214285714285714,0.5,0.4,0.7,0.4,0.5,0.424,0.3454999999999999,0.27,0.00945,0.12355465046676828,0.3,-0.5,0.7000000000000001,Not Recommended
