Year,Age,Portfolio,Withdrawal,Real_Value,Expected_Portfolio,Inflation_Factor
0,70,1000000.0,0.0,40000.0,1000000.0,1.0
1,71,978800.0,41200.0,41200.0,1008800.0,1.03
2,72,955940.0,42436.0,41200.0,1016804.0,1.0609
3,73,931349.7200000001,43709.08,41200.0,1023935.12,1.092727
4,74,904956.3620000001,45020.3524,41200.0,1030111.5236,1.1255088100000001
5,75,876684.5262680001,46370.962972,41199.99999999999,1035246.136808,1.1592740743
6,76,846456.1249322002,47762.09186116001,41200.0,1039246.35178724,1.1940522965290001
7,77,814190.2928138494,49194.95461699481,41200.0,1042013.7147596073,1.2298738654248702
8,78,779803.2954146217,50670.80325550465,41200.0,1043443.5972420829,1.2667700813876164
9,79,743208.4339697444,52190.9273531698,41200.0,1043424.8497510173,1.304773183829245
10,80,704315.9474753743,53756.65517376489,41200.0,1041839.4370648033,1.3439163793441222
